








 -,-,-
-958.0,601.0,337.0
-880.0,566.0,457.0
-756.0,488.0,582.0
-747.0,472.0,516.0
-723.0,436.0,448.0
-614.0,378.0,282.0
-563.0,356.0,195.0
-480.0,310.0,131.0
-262.0,244.0,190.0
-252.0,262.0,226.0
-234.0,223.0,303.0
-240.0,170.0,590.0
-254.0,199.0,620.0
-260.0,306.0,727.0
-364.0,308.0,1420.0
-452.0,251.0,1619.0
-550.0,272.0,1830.0
-678.0,618.0,2038.0
-632.0,661.0,1922.0
-586.0,564.0,1838.0
-494.0,352.0,1510.0
-452.0,340.0,1398.0
-408.0,330.0,1245.0
-342.0,238.0,854.0
-353.0,233.0,777.0
-376.0,232.0,771.0
-404.0,284.0,630.0
-408.0,237.0,526.0
-413.0,208.0,443.0
-412.0,128.0,212.0
-419.0,123.0,188.0
-400.0,187.0,190.0
-334.0,354.0,150.0
-347.0,336.0,212.0
-380.0,298.0,308.0
-388.0,342.0,472.0
-397.0,342.0,544.0
-370.0,360.0,582.0
-394.0,286.0,902.0
-380.0,328.0,923.0
-365.0,331.0,956.0
-276.0,204.0,1086.0
-276.0,215.0,1084.0
-284.0,230.0,1183.0
-252.0,348.0,1282.0
-309.0,382.0,1400.0
-336.0,481.0,1626.0
-314.0,624.0,1828.0
-301.0,577.0,1749.0
-274.0,531.0,1629.0
-224.0,380.0,1346.0
-230.0,319.0,1303.0
-245.0,268.0,1198.0
-278.0,124.0,1048.0
-290.0,127.0,935.0
-294.0,115.0,796.0
-356.0,-16.0,462.0
-384.0,-18.0,374.0
-425.0,49.0,298.0
-496.0,258.0,428.0
-526.0,281.0,495.0
-562.0,352.0,572.0
-620.0,508.0,592.0
-629.0,496.0,658.0
-631.0,415.0,669.0
-672.0,300.0,630.0
-665.0,359.0,651.0
-672.0,402.0,676.0
-692.0,398.0,716.0
-695.0,372.0,679.0
-693.0,399.0,669.0
-684.0,462.0,632.0
-691.0,426.0,671.0
-671.0,445.0,677.0
-672.0,408.0,632.0
-682.0,357.0,684.0
-676.0,412.0,502.0
-690.0,306.0,682.0
-676.0,321.0,639.0
-684.0,380.0,663.0
-710.0,348.0,630.0
-697.0,376.0,673.0


















 -,-,-
-650.0,499.0,677.0
-635.0,439.0,659.0
-616.0,278.0,372.0
-589.0,262.0,331.0
-522.0,259.0,279.0
-318.0,238.0,146.0
-244.0,233.0,49.0
-132.0,201.0,87.0
8.0,84.0,268.0
38.0,74.0,553.0
-17.0,4.0,1051.0
-258.0,-16.0,2040.0
-319.0,54.0,1985.0
-331.0,125.0,1905.0
-348.0,192.0,2040.0
-342.0,175.0,2040.0
-322.0,117.0,2023.0
-278.0,-20.0,1896.0
-245.0,37.0,1774.0
-225.0,138.0,1488.0
-212.0,178.0,1132.0
-199.0,150.0,1021.0
-190.0,99.0,795.0
-210.0,-102.0,192.0
-234.0,-100.0,40.0
-252.0,-81.0,-142.0
-292.0,44.0,-366.0
-275.0,97.0,-255.0
-287.0,143.0,-113.0
-256.0,246.0,222.0
-249.0,285.0,219.0
-217.0,226.0,401.0
-118.0,60.0,1026.0
-135.0,99.0,1082.0
-121.0,131.0,1170.0
-152.0,-30.0,1468.0
-157.0,-87.0,1569.0
-189.0,-43.0,1784.0
-210.0,100.0,2040.0
-215.0,208.0,2040.0
-212.0,288.0,1923.0
-188.0,124.0,1864.0
-155.0,33.0,1742.0
-131.0,-83.0,1516.0
-44.0,246.0,1386.0
-69.0,177.0,1238.0
-107.0,75.0,1025.0
-184.0,-6.0,600.0
-202.0,-6.0,464.0
-263.0,17.0,197.0
-464.0,66.0,-20.0
-522.0,1.0,97.0
-586.0,30.0,206.0
-698.0,172.0,472.0
-724.0,217.0,559.0
-749.0,271.0,535.0
-788.0,294.0,592.0
-787.0,255.0,602.0
-795.0,253.0,582.0
-816.0,266.0,614.0
-814.0,324.0,644.0
-806.0,342.0,682.0
-798.0,240.0,682.0
-820.0,194.0,623.0
-823.0,178.0,599.0
-788.0,268.0,656.0
-787.0,284.0,666.0
-785.0,216.0,635.0
-782.0,152.0,578.0
-798.0,144.0,565.0
-813.0,155.0,622.0
-822.0,208.0,560.0
-811.0,176.0,536.0


















 -,-,-
-851.0,310.0,504.0
-830.0,313.0,539.0
-802.0,328.0,486.0
-787.0,358.0,446.0
-783.0,403.0,415.0
-724.0,484.0,370.0
-694.0,462.0,299.0
-609.0,379.0,200.0
-396.0,200.0,18.0
-339.0,233.0,93.0
-276.0,221.0,152.0
-158.0,140.0,266.0
-105.0,74.0,401.0
-69.0,-41.0,691.0
26.0,-294.0,1164.0
-6.0,-324.0,1220.0
-13.0,-320.0,1494.0
-170.0,-416.0,1972.0
-219.0,-406.0,2006.0
-265.0,-417.0,2023.0
-258.0,-334.0,2040.0
-189.0,-303.0,1986.0
-120.0,-267.0,1824.0
6.0,-166.0,1428.0
-2.0,-76.0,1257.0
-17.0,70.0,931.0
-130.0,254.0,446.0
-157.0,197.0,368.0
-188.0,127.0,233.0
-284.0,-108.0,-66.0
-293.0,-78.0,-101.0
-282.0,53.0,-90.0
-260.0,246.0,-40.0
-256.0,193.0,-6.0
-238.0,158.0,1.0
-104.0,158.0,376.0
-72.0,183.0,624.0
-47.0,198.0,851.0
8.0,58.0,1154.0
-8.0,9.0,1323.0
-27.0,-49.0,1557.0
-114.0,44.0,1960.0
-147.0,-68.0,2000.0
-178.0,-131.0,2020.0
-202.0,-196.0,2040.0
-164.0,-176.0,1983.0
-91.0,-103.0,1737.0
2.0,-12.0,1308.0
12.0,-3.0,1278.0
-2.0,-43.0,1236.0
-72.0,-100.0,922.0
-124.0,-141.0,908.0
-143.0,-198.0,806.0
-246.0,-204.0,146.0
-294.0,-107.0,2.0
-370.0,-2.0,-11.0
-534.0,160.0,288.0
-575.0,194.0,355.0
-628.0,204.0,467.0
-726.0,220.0,658.0
-740.0,226.0,703.0
-745.0,242.0,698.0
-768.0,222.0,816.0
-764.0,203.0,788.0
-776.0,159.0,718.0
-820.0,160.0,678.0
-820.0,209.0,669.0
-820.0,180.0,736.0
-814.0,122.0,690.0
-802.0,147.0,641.0
-795.0,112.0,591.0
-780.0,44.0,542.0
-761.0,166.0,584.0
-756.0,67.0,541.0
-730.0,174.0,572.0
-758.0,121.0,674.0
-782.0,95.0,707.0
-798.0,336.0,372.0
-792.0,239.0,494.0
-802.0,181.0,609.0


















 -,-,-
-799.0,286.0,644.0
-809.0,358.0,546.0
-784.0,438.0,532.0
-774.0,444.0,521.0
-770.0,460.0,501.0
-760.0,482.0,452.0
-756.0,470.0,430.0
-732.0,409.0,380.0
-632.0,246.0,174.0
-569.0,223.0,63.0
